iter	MultiClass
0	1.015392919
1	0.955235417
2	0.8943958027
3	0.8426848506
4	0.7947306088
5	0.7493469798
6	0.7117217771
7	0.6750294527
8	0.6486851718
9	0.6205335492
10	0.5948875444
11	0.5723081505
12	0.5498026278
13	0.5335865802
14	0.5180685486
15	0.5026814874
16	0.4870664439
17	0.4711290921
18	0.4607247604
19	0.4502020867
20	0.4382090041
21	0.4283521298
22	0.4193323975
23	0.4104825516
24	0.4036016417
25	0.3976543144
26	0.3896021548
27	0.3838620822
28	0.3776185162
29	0.3732423662
30	0.3673159652
31	0.3639943126
32	0.3595120987
33	0.3549415505
34	0.3505242073
35	0.3458372047
36	0.3419501002
37	0.3389454069
38	0.3362331928
39	0.3337443929
40	0.3313104282
41	0.3277447312
42	0.32535352
43	0.3237532198
44	0.3214588874
45	0.3197756744
46	0.3180956528
47	0.316495192
48	0.314913636
49	0.3126755538
50	0.3106125548
51	0.3086965157
52	0.3071508471
53	0.3055607412
54	0.3047571317
55	0.3029326821
56	0.3016568782
57	0.3003322175
58	0.2990285308
59	0.2977771246
60	0.29710741
61	0.2959019004
62	0.2952413834
63	0.2945966884
64	0.2938293019
65	0.2931708274
66	0.2918599615
67	0.2906499128
68	0.2896604379
69	0.2883694832
70	0.2874178637
71	0.2871415765
72	0.2867497858
73	0.2858230993
74	0.285200793
75	0.2840192136
76	0.2834808929
77	0.2823125686
78	0.2816330019
79	0.2809637022
80	0.2802836773
81	0.2797746855
82	0.2789308834
83	0.2782557785
84	0.2776350076
85	0.2769864507
86	0.2761049783
87	0.2754719497
88	0.2749131897
89	0.2738761466
90	0.2731397292
91	0.2724744158
92	0.2717114056
93	0.2711047589
94	0.2707451532
95	0.2702790182
96	0.2696655537
97	0.269218806
98	0.2684132174
99	0.2676409796
100	0.2673089263
101	0.2667929579
102	0.2663824748
103	0.2658076346
104	0.2651026348
105	0.26470087
106	0.264170362
107	0.2634821541
108	0.2631925524
109	0.2626010488
110	0.2620203589
111	0.2615473206
112	0.2609308775
113	0.260191865
114	0.2599757231
115	0.2595569724
116	0.258968734
117	0.2582891645
118	0.2575472367
119	0.2570065052
120	0.2567549076
121	0.2560828509
122	0.2555717508
123	0.2545473519
124	0.254130371
125	0.2537493539
126	0.2531939429
127	0.2528722957
128	0.2521113564
129	0.2518878259
130	0.2513059633
131	0.250835841
132	0.2500843687
133	0.24975001
134	0.2492220793
135	0.24882295
136	0.2484376639
137	0.2480274683
138	0.2476988502
139	0.2472125858
140	0.2467102168
141	0.2464242422
142	0.2460562442
143	0.2457335546
144	0.2454141385
145	0.2449904575
146	0.2445930268
147	0.2441401135
148	0.2436177181
149	0.2432452806
150	0.242741089
151	0.2424311716
152	0.2419806921
153	0.2415027437
154	0.2410680211
155	0.2406963371
156	0.2403670482
157	0.2401075664
158	0.2396985368
159	0.2392248985
160	0.2388083907
161	0.2383258032
162	0.2378735797
163	0.2375619784
164	0.2373041184
165	0.2367939749
166	0.2364954181
167	0.2361337052
168	0.2357765775
169	0.2353383703
170	0.2350511169
171	0.2347024713
172	0.2343575724
173	0.2339829604
174	0.2337629896
175	0.2334290134
176	0.2329427376
177	0.232697668
178	0.2324152632
179	0.2320425311
180	0.2317408152
181	0.2313585939
182	0.2308582768
183	0.230476679
184	0.230032507
185	0.2297608754
186	0.2294768447
187	0.2292418361
188	0.2288500132
189	0.2284668646
190	0.2280954013
191	0.2277597749
192	0.2273511255
193	0.2270741118
194	0.2269264248
195	0.2264951336
196	0.2262187377
197	0.2257700926
198	0.2255810434
199	0.2254670715
200	0.2251637214
201	0.224899158
202	0.2246808583
203	0.2244793026
204	0.224207657
205	0.2239676792
206	0.2238253978
207	0.2235998479
208	0.2232758139
209	0.2230617471
210	0.2226853794
211	0.2225145003
212	0.222227866
213	0.2220103527
214	0.2217962113
215	0.2215172245
216	0.2212427249
217	0.2209774299
218	0.2207361401
219	0.2204603039
220	0.2202449925
221	0.2199363525
222	0.2197269871
223	0.2195609707
224	0.2193313058
225	0.2192073829
226	0.2189588038
227	0.2188091344
228	0.2184546104
229	0.2182414289
230	0.2180226946
231	0.2177912528
232	0.2176361153
233	0.2174331394
234	0.2171429951
235	0.2171020787
236	0.2168932677
237	0.2166508405
238	0.216432949
239	0.2162525541
240	0.2159721205
241	0.2157903278
242	0.2155491645
243	0.215308768
244	0.215052194
245	0.2148020815
246	0.2145957635
247	0.214407543
248	0.2142739966
249	0.2141225819
250	0.2138873805
251	0.2135703867
252	0.2133491517
253	0.2131604498
254	0.2129593722
255	0.2127438991
256	0.2125635736
257	0.2123536401
258	0.2121249145
259	0.2119924265
260	0.2117442503
261	0.2115380032
262	0.2112197163
263	0.2110492535
264	0.210875117
265	0.2106411406
266	0.2103910234
267	0.2101975451
268	0.2100372672
269	0.209837404
270	0.209693722
271	0.2095347373
272	0.2094342731
273	0.2092611386
274	0.209089779
275	0.2089272763
276	0.2087291723
277	0.2084854828
278	0.2082780133
279	0.208088836
280	0.2079288915
281	0.2078195839
282	0.2076268976
283	0.2074756312
284	0.2072821342
285	0.2071220123
286	0.2069830173
287	0.2068167516
288	0.2065687908
289	0.206415125
290	0.206310788
291	0.2062274205
292	0.2060682151
293	0.205830831
294	0.2056182334
295	0.2055007873
296	0.2053281435
297	0.2050568908
298	0.2048928042
299	0.2047408009
300	0.2046070379
301	0.2044430817
302	0.2042653771
303	0.2041143668
304	0.2040174709
305	0.2038680112
306	0.2037636202
307	0.2036044657
308	0.203439017
309	0.2032608683
310	0.2031066409
311	0.2029488408
312	0.2028344453
313	0.2026239745
314	0.2024588029
315	0.2023268803
316	0.2021587438
317	0.2020756938
318	0.2019226706
319	0.2017892248
320	0.2017005167
321	0.2016032927
322	0.2014557859
323	0.2013205809
324	0.2011951923
325	0.2010375378
326	0.2008359359
327	0.2007428018
328	0.2006393575
329	0.2005228535
330	0.2004030368
331	0.2002537166
332	0.2001659295
333	0.1999570312
334	0.1997610038
335	0.1996542437
336	0.1995739425
337	0.19947318
338	0.1993882057
339	0.1992872978
340	0.199209588
341	0.1991042293
342	0.1989296599
